ID_prestamo;Monto actual del préstamo;Fechas;Término;Puntaje de crédito; Ingresos anuales ;Años en el trabajo;Garantía;Objetivo;Deuda Mensual;Años de Historial de Crédito;Meses desde el último moroso;Número de cuentas abiertas;Saldo de crédito actual;Quiebras;
A01B1/00;611314;23/11/2022;Short Term;747;$ 2.074.116;10+ years;Home Mortgage;Consolidación de la deuda;42000,83;21,8;NA;9;621908;0;
A01B1/02;266662;24/1/2022;Short Term;734;$ 1.919.190;10+ years;Home Mortgage;Consolidación de la deuda;36624,4;19,4;NA;11;679573;0;
A01B1/022;153494;18/11/2022;Short Term;709;$ 871.112;2 years;Rent;Consolidación de la deuda;8391,73;12,5;10;10;38532;0;
A01B1/024;176242;2/10/2022;Short Term;727;$ 780.083;10+ years;Rent;Consolidación de la deuda;16771,87;16,5;27;16;156940;1;
A01B1/026;321992;9/9/2022;Short Term;744;$ 1.761.148;10+ years;Home Mortgage;Consolidación de la deuda;39478,77;26;44;14;359765;0;
A01B1/028;202928;11/7/2022;Short Term;741;$ 760.380;1 year;Rent;Consolidación de la deuda;6526,69;13,8;NA;6;258647;0;
A01B1/04;621786;4/11/2022;Long Term;733;$ 1.783.606;10+ years;Home Mortgage;Consolidación de la deuda;36563,98;15,3;NA;42;281599;0;
A01B1/06;266794;29/12/2022;Long Term;720;$ 979.000;< 1 year;Own Home;Consolidación de la deuda;12336,89;5,8;NA;9;233206;0;
A01B1/065;202466;21/6/2022;Short Term;736;$ 1.068.617;5 years;Rent;Consolidación de la deuda;18745,21;20,5;NA;2;0;0;
A01B1/08;266288;11/5/2022;Long Term;683;$ 2.031.518;2 years;Rent;Consolidación de la deuda;12443,1;24,4;56;8;31445;2;
A01B1/10;121110;27/5/2022;Short Term;683;$ 669.000;< 1 year;Rent;Consolidación de la deuda;10749,44;19,2;52;4;102087;0;
A01B1/12;258104;14/11/2022;Short Term;723;$ 1.284.514;7 years;Rent;Consolidación de la deuda;6368,99;14,6;64;12;128402;0;
A01B1/14;161722;21/1/2022;Short Term;680;$ 504.374;7 years;Rent;Otros;6094,63;9,5;NA;13;167903;0;
A01B1/16;753016;23/2/2022;Long Term;740;$ 507.300;5 years;Home Mortgage;Consolidación de la deuda;9627,49;21,7;21;9;384522;0;
A01B1/165;444664;26/5/2022;Short Term;696;$ 2.245.116;5 years;Rent;Consolidación de la deuda;22817,86;17,9;8;25;318953;0;
A01B1/18;172282;21/10/2022;Short Term;696;$ 669.560;3 years;Home Mortgage;Consolidación de la deuda;17966,78;18,2;NA;16;431490;0;
A01B1/20;275440;3/2/2022;Short Term;729;$ 1.236.976;6 years;Rent;Consolidación de la deuda;21647,08;35,8;NA;13;151088;0;
A01B1/22;218834;27/3/2022;Short Term;742;$ 1.077.262;3 years;Own Home;Para hogar;19390,64;24,5;29;37;212800;0;
